,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1,74.2471,1.73534,4.73111,0.00353,0.06232,0.11275,0.02596,0.02053,1.57426,3.5742,0.00302,4.998e-05,4.998e-05,4.998e-05
1,2,146.241,1.73235,3.73023,0.00377,0.05323,0.14399,0.0772,0.0495,1.62838,2.70255,0.00326,0.00010604,0.00010604,0.00010604
2,3,217.614,1.69719,2.62515,0.00395,0.45032,0.10184,0.09497,0.0582,1.69196,2.42041,0.00336,0.000160968,0.000160968,0.000160968
3,4,289.072,1.5662,2.11388,0.00343,0.45665,0.09014,0.09912,0.05813,1.65213,3.83689,0.00335,0.000214766,0.000214766,0.000214766
4,5,359.903,1.62045,2.02767,0.00446,0.72424,0.12384,0.11755,0.06737,1.53996,2.99888,0.00304,0.000267433,0.000267433,0.000267433
5,6,430.695,1.6038,1.71612,0.00355,0.55195,0.20396,0.16613,0.09246,1.74969,1.8598,0.00335,0.000318969,0.000318969,0.000318969
6,7,501.922,1.7609,1.57559,0.00331,0.51982,0.20581,0.15637,0.0893,1.65872,2.39625,0.00332,0.000369374,0.000369374,0.000369374
7,8,572.586,1.59227,1.48605,0.0036,0.64995,0.1749,0.1816,0.10784,1.61232,2.04162,0.00309,0.000418647,0.000418647,0.000418647
8,9,642.945,1.60904,1.42362,0.00319,0.81378,0.18667,0.21732,0.1301,1.53496,1.51835,0.00292,0.00046679,0.00046679,0.00046679
9,10,713.52,1.58227,1.33101,0.00333,0.47622,0.22217,0.23361,0.14081,1.52425,1.47586,0.0029,0.000513802,0.000513802,0.000513802
10,11,783.994,1.58078,1.2661,0.00308,0.62042,0.25835,0.25409,0.15353,1.54864,1.27964,0.00301,0.000559683,0.000559683,0.000559683
11,12,854.084,1.53632,1.29124,0.00324,0.63427,0.28544,0.27658,0.16783,1.53314,1.19489,0.00289,0.000604433,0.000604433,0.000604433
12,13,924.166,1.48748,1.3225,0.00424,0.35402,0.30582,0.26115,0.1523,1.54142,1.27662,0.00295,0.000629177,0.000629177,0.000629177
13,14,994.389,1.57075,1.17739,0.00338,0.52081,0.277,0.26791,0.15624,1.52758,1.25044,0.00291,0.000622108,0.000622108,0.000622108
14,15,1063.76,1.56592,1.16168,0.0033,0.58087,0.23236,0.25285,0.14593,1.7388,1.26621,0.00333,0.00061504,0.00061504,0.00061504
15,16,1133.47,1.6049,1.18279,0.00317,0.75146,0.24681,0.26861,0.16388,1.53156,1.22739,0.00291,0.000607971,0.000607971,0.000607971
16,17,1203.33,1.52239,1.11528,0.00333,0.60901,0.26579,0.28623,0.171,1.56394,1.25623,0.00295,0.000600902,0.000600902,0.000600902
17,18,1273.01,1.61472,1.13845,0.00343,0.56231,0.29448,0.29317,0.17441,1.61315,1.19782,0.00311,0.000593834,0.000593834,0.000593834
18,19,1343.45,1.54008,1.12061,0.00333,0.32252,0.33279,0.3043,0.1836,1.52307,1.12997,0.00291,0.000586765,0.000586765,0.000586765
19,20,1413.36,1.61972,1.11993,0.00318,0.47731,0.334,0.31434,0.18769,1.5535,1.09976,0.00291,0.000579697,0.000579697,0.000579697
20,21,1484.23,1.48083,1.10583,0.00331,0.47668,0.32373,0.35565,0.21539,1.51119,1.04199,0.00283,0.000572628,0.000572628,0.000572628
21,22,1554.81,1.44829,1.02108,0.0029,0.48447,0.31153,0.34477,0.20874,1.49898,1.10002,0.00281,0.000565559,0.000565559,0.000565559
22,23,1624.67,1.44092,0.94173,0.00291,0.40757,0.40407,0.36222,0.21861,1.49438,1.0436,0.00282,0.000558491,0.000558491,0.000558491
23,24,1695.1,1.47094,0.98551,0.00317,0.41184,0.38684,0.38772,0.23081,1.4882,1.02352,0.00284,0.000551422,0.000551422,0.000551422
24,25,1766.25,1.55033,1.00325,0.00292,0.38907,0.42857,0.3706,0.21842,1.5176,1.03231,0.00287,0.000544354,0.000544354,0.000544354
25,26,1836.51,1.50508,1.1113,0.00341,0.42403,0.38378,0.37316,0.22698,1.47846,1.0288,0.00282,0.000537285,0.000537285,0.000537285
26,27,1907.0,1.64119,1.04083,0.00296,0.41446,0.41739,0.39381,0.24345,1.50516,1.00346,0.00282,0.000530216,0.000530216,0.000530216
27,28,1977.63,1.51358,0.97675,0.00307,0.46199,0.33509,0.3656,0.22389,1.53713,1.06778,0.00294,0.000523148,0.000523148,0.000523148
28,29,2047.95,1.51819,1.04355,0.00332,0.48776,0.35949,0.35297,0.21451,1.48147,1.02348,0.00283,0.000516079,0.000516079,0.000516079
29,30,2117.96,1.47574,0.91386,0.003,0.50098,0.38611,0.37145,0.22103,1.50372,1.00046,0.0029,0.000509011,0.000509011,0.000509011
30,31,2188.07,1.59967,0.94145,0.00271,0.5723,0.35535,0.38933,0.2326,1.49926,0.96731,0.00279,0.000501942,0.000501942,0.000501942
31,32,2258.01,1.56928,0.95586,0.00295,0.57594,0.35016,0.3848,0.23016,1.4978,0.98437,0.00287,0.000494873,0.000494873,0.000494873
32,33,2328.33,1.44888,0.86002,0.00303,0.51675,0.39394,0.42357,0.26314,1.48871,0.97195,0.00276,0.000487805,0.000487805,0.000487805
33,34,2399.33,1.52434,0.8984,0.0029,0.46877,0.42647,0.42546,0.2641,1.47926,0.98157,0.00279,0.000480736,0.000480736,0.000480736
34,35,2469.9,1.43213,0.86241,0.00273,0.47184,0.42188,0.40088,0.24372,1.47322,0.98561,0.00276,0.000473668,0.000473668,0.000473668
35,36,2540.16,1.55433,0.99714,0.00305,0.42528,0.45281,0.41681,0.26108,1.48933,0.98739,0.00282,0.000466599,0.000466599,0.000466599
36,37,2610.31,1.38709,0.8534,0.00283,0.51248,0.37575,0.43253,0.27299,1.48688,0.96398,0.00282,0.00045953,0.00045953,0.00045953
37,38,2680.88,1.44893,0.84598,0.00273,0.46219,0.47022,0.43745,0.27819,1.49497,0.97246,0.00284,0.000452462,0.000452462,0.000452462
38,39,2751.33,1.56421,0.93302,0.00277,0.47493,0.43752,0.42705,0.25935,1.46694,0.98493,0.00276,0.000445393,0.000445393,0.000445393
39,40,2821.5,1.39829,0.79444,0.00269,0.48265,0.42026,0.41476,0.25267,1.43886,0.96172,0.00267,0.000438325,0.000438325,0.000438325
40,41,2891.88,1.42993,0.81131,0.00274,0.45913,0.4378,0.41933,0.25598,1.44464,0.95544,0.00268,0.000431256,0.000431256,0.000431256
41,42,2962.16,1.48657,0.84239,0.00298,0.55412,0.42294,0.41527,0.25694,1.472,0.9408,0.00273,0.000424187,0.000424187,0.000424187
42,43,3032.31,1.41399,0.81254,0.00268,0.52351,0.42833,0.44269,0.26955,1.45019,0.93153,0.00273,0.000417119,0.000417119,0.000417119
43,44,3102.59,1.37964,0.83516,0.00264,0.49165,0.45781,0.44614,0.27828,1.4582,0.92792,0.00271,0.00041005,0.00041005,0.00041005
44,45,3173.09,1.37519,0.87702,0.00302,0.52343,0.47725,0.43568,0.27439,1.46448,0.94189,0.00271,0.000402982,0.000402982,0.000402982
45,46,3243.58,1.39929,0.78482,0.00273,0.57437,0.44051,0.44101,0.27617,1.452,0.93171,0.0027,0.000395913,0.000395913,0.000395913
46,47,3313.84,1.38914,0.76987,0.00252,0.52093,0.43655,0.44488,0.28253,1.44349,0.93488,0.0027,0.000388844,0.000388844,0.000388844
47,48,3384.44,1.44303,0.80209,0.00264,0.43249,0.46316,0.42117,0.2613,1.45378,0.97169,0.00268,0.000381776,0.000381776,0.000381776
48,49,3454.57,1.38504,0.76565,0.00281,0.51566,0.4201,0.417,0.25876,1.45849,0.952,0.00271,0.000374707,0.000374707,0.000374707
49,50,3524.76,1.43896,0.79609,0.00269,0.48527,0.42663,0.40932,0.24955,1.43989,0.93952,0.00267,0.000367639,0.000367639,0.000367639
50,51,3594.89,1.32657,0.75956,0.00267,0.45021,0.47355,0.42696,0.26683,1.44118,0.94731,0.00271,0.00036057,0.00036057,0.00036057
51,52,3664.69,1.38675,0.78378,0.00268,0.48356,0.41949,0.41962,0.26117,1.43973,0.94926,0.00267,0.000353501,0.000353501,0.000353501
52,53,3734.75,1.38345,0.76819,0.00262,0.55819,0.40509,0.42859,0.26788,1.45191,0.93577,0.00273,0.000346433,0.000346433,0.000346433
53,54,3805.42,1.34515,0.72337,0.0027,0.45972,0.43696,0.43095,0.27036,1.43093,0.90701,0.00265,0.000339364,0.000339364,0.000339364
54,55,3875.64,1.42446,0.76353,0.00249,0.40504,0.44766,0.44169,0.27705,1.43539,0.91045,0.00266,0.000332296,0.000332296,0.000332296
